date,open,high,low,close,volume,label
2012.09.27,77.674,77.741,77.55,77.605,18114,78.093
2012.09.28,77.606,78.093,77.423,78.005,19238,78.01
2012.09.30,77.964,78.01,77.923,77.948,2032,78.135
2012.10.01,77.95,78.135,77.777,78.037,18513,78.237
2012.10.02,78.036,78.237,77.965,78.207,17621,78.57
2012.10.03,78.204,78.57,78.105,78.432,17453,78.703
2012.10.04,78.431,78.703,78.289,78.502,17952,78.857
2012.10.05,78.501,78.857,78.263,78.652,17778,78.748
2012.10.07,78.645,78.748,78.633,78.697,1695,78.698
2012.10.08,78.696,78.698,78.068,78.282,15326,78.42
2012.10.09,78.281,78.42,78.14,78.227,17383,78.358
2012.10.10,78.225,78.358,78.021,78.064,17286,78.573
2012.10.11,78.063,78.573,77.933,78.402,18703,78.521
2012.10.12,78.405,78.521,78.272,78.38,14317,78.473
2012.10.14,78.435,78.473,78.397,78.461,1710,78.845
2012.10.15,78.462,78.845,78.316,78.78,19090,78.95
2012.10.16,78.778,78.95,78.709,78.845,20347,79.12
2012.10.17,78.846,79.12,78.603,79.049,20972,79.45
2012.10.18,79.05,79.45,78.979,79.306,22758,79.417
2012.10.19,79.308,79.417,79.126,79.295,15305,79.313
2012.10.21,79.283,79.313,79.22,79.248,1756,79.995
2012.10.22,79.251,79.995,79.203,79.975,19428,79.978
2012.10.23,79.977,79.978,79.7,79.81,20380,79.912
2012.10.24,79.808,79.912,79.677,79.839,18722,80.365
2012.10.25,79.841,80.365,79.816,80.208,21565,80.263
2012.10.26,80.209,80.263,79.481,79.598,19363,79.735
2012.10.28,79.6,79.735,79.591,79.638,1586,79.83
2012.10.29,79.637,79.83,79.513,79.763,16211,80.112
2012.10.30,79.764,80.112,79.266,79.663,21923,79.945
2012.10.31,79.665,79.945,79.507,79.849,18830,80.21
2012.11.01,79.85,80.21,79.835,80.206,19002,80.66
2012.11.02,80.205,80.66,80.18,80.415,17636,80.522
2012.11.04,80.425,80.522,80.415,80.499,1404,80.548
2012.11.05,80.498,80.548,80.12,80.149,16754,80.43
2012.11.06,80.148,80.43,79.949,80.273,17294,80.388
2012.11.07,80.272,80.388,79.745,79.969,26861,79.986
2012.11.08,79.97,79.986,79.308,79.475,20306,79.597
2012.11.09,79.474,79.597,79.063,79.462,19817,79.508
2012.11.11,79.478,79.508,79.39,79.451,1393,79.608
2012.11.12,79.45,79.608,79.343,79.595,14924,79.627
2012.11.13,79.593,79.627,79.203,79.449,18470,80.293
2012.11.14,79.454,80.293,79.38,80.188,17643,81.447
2012.11.15,80.187,81.447,80.11,81.112,26696,81.427
2012.11.16,81.111,81.427,80.882,81.235,21712,81.548
2012.11.18,81.377,81.548,81.31,81.54,1853,81.573
2012.11.19,81.544,81.573,81.075,81.352,20908,81.76
2012.11.20,81.35,81.76,81.123,81.724,23273,82.574
2012.11.21,81.722,82.574,81.697,82.561,26265,82.821
2012.11.22,82.558,82.821,82.25,82.353,24063,82.473
